,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type
9828690,True,False,2600.0,3.0,160.0,True,True,,True,,,,,,,False,"
                                    Bon
                                ",1050,Appartement
10206838,True,False,800.0,2.0,133.0,True,False,,,,,,,,2.0,False,"
                                    Bon
                                ",3300,Appartement
10079179,True,False,2750.0,2.0,136.0,True,True,,,,True,100.0,,,2.0,,"
                                    Fraîchement rénové
                                ",1050,Appartement
10267566,True,False,800.0,1.0,71.0,,,,True,,,,,,,,,5100,Appartement
10304157,True,False,725.0,2.0,110.0,,,,,,,,,,3.0,,"
                                    Excellent état
                                ",9280,Triplex
10236880,True,False,800.0,2.0,75.0,True,False,,,,,,,,2.0,,,5340,Appartement
10304082,True,False,1075.0,3.0,105.0,,,,,,,,,,,False,"
                                    Bon
                                ",3010,Appartement
10161234,True,False,800.0,2.0,117.0,,False,,,,,,,,2.0,,"
                                    Excellent état
                                ",9950,Duplex
10294053,True,False,575.0,,55.0,True,,,,,,,,,3.0,,,5031,Studio
10294356,True,False,680.0,2.0,113.0,True,False,,True,,"[1, 2005, 2, 3, '\n                                    Bon\n                                ', 113, True, '\n                                    Équipée\n                                ', 2, False, 1, 1, False, False, False, True, '\n                                    Sud\n                                ', True, False, True, False, False, False, False, True, False, False, 139, '\n                                                                    B\n                                                            ', 20190206, False, False, False, '\n                                Gaz\n                            ', True, True, False, False, False, False, ""\n                                    Zone d'habitat (résidentiel, urbain ou rural)\n                                "", 680, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 458, '\n                                                    http://www.dicasa.be\n                                                ', 2022158]",,,,,False,"
                                    Bon
                                ",8800,Appartement
10269788,True,False,820.0,2.0,,True,False,,,,,,,,,False,"
                                    Excellent état
                                ",9950,Appartement
10292845,True,False,795.0,1.0,74.0,True,False,,,,,,,,2.0,,"
                                    Excellent état
                                ",1070,Appartement
10163893,True,False,835.0,3.0,109.0,True,False,,,,,,,,,False,,9900,Penthouse
10294276,True,False,895.0,2.0,107.0,True,True,,True,,"[1, 2000, 1, 3, '\n                                    Excellent état\n                                ', 1, 107, True, '\n                                    Équipée\n                                ', 2, False, 1, True, False, True, False, True, '\n                                    Sud\n                                ', True, False, False, False, False, False, False, True, False, False, 113, '\n                                                                    B\n                                                            ', 20180530, False, False, '\n                                Gaz\n                            ', True, 895, False, 11, 67, '\n                                                    http://www.sofiedemeestervastgoed.be\n                                                ', 1]",,,,,False,"
                                    Excellent état
                                ",9070,Duplex
10059018,True,False,840.0,3.0,157.0,True,,,,,,,,,,,"
                                    Bon
                                ",8310,Duplex
10294220,True,False,1100.0,2.0,100.0,,,,,,,,,,,False,,1040,Appartement
10284368,True,False,850.0,1.0,,True,,,,,,,,,2.0,False,,1050,Appartement
10305542,True,False,845.0,1.0,54.0,True,,,,,,,,,2.0,False,"
                                    Excellent état
                                ",1150,Appartement
10270350,True,False,850.0,3.0,140.0,True,False,,,,,,,,2.0,,,4257,Duplex
10305330,True,False,850.0,2.0,98.0,True,,,,,,,,,3.0,False,"
                                    Excellent état
                                ",3200,Duplex
10285936,True,False,850.0,2.0,93.0,True,False,,,,True,84.0,,,2.0,False,"
                                    Excellent état
                                ",8800,Appartement
10305621,True,False,850.0,2.0,81.0,True,False,,,,True,72.0,,,,False,"
                                    Excellent état
                                ",7800,Rez-de-chaussée
10286685,True,False,850.0,2.0,86.0,True,False,,,,,,,,,False,"
                                    Excellent état
                                ",9300,Appartement
10305589,True,False,2950.0,3.0,206.0,True,False,,,,,,,,2.0,,"
                                    Fraîchement rénové
                                ",1000,Appartement
10284201,True,False,850.0,2.0,88.0,,False,,,,"[1, 2022, 2, 3, '\n                                    Excellent état\n                                ', 2, 1, 1, 88, 31, 8, 2, 1, 1, False, True, False, False, True, '\n                                    Sud-ouest\n                                ', 17, True, False, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, 850, 40, False, '           Assurez ce bien Assurez ce bien contre les incendies avec Immoweb Protect \n        Voir mon devis\n    ', 76, '\n                                                    http://www.vdsvastgoed.be\n                                                ', 1478]",,,,2.0,False,"
                                    Excellent état
                                ",9890,Appartement
10305590,True,False,2950.0,3.0,206.0,True,False,,,,,,,,2.0,,"
                                    Fraîchement rénové
                                ",1050,Appartement
10267732,True,False,855.0,2.0,92.0,True,,,,,,,,,2.0,,"
                                    Excellent état
                                ",9052,Appartement
10297326,True,False,860.0,2.0,100.0,True,,,,,,,,,2.0,False,"
                                    Excellent état
                                ",9050,Duplex
10280166,True,False,865.0,2.0,84.0,,,,,,,,,,,,"
                                    Excellent état
                                ",5000,Appartement
10295368,True,False,800.0,2.0,,True,,,,,,,,,2.0,False,"
                                    Excellent état
                                ",5630,Maison
10216171,True,False,865.0,2.0,98.0,,False,,,,,,,,,,"
                                    Excellent état
                                ",9850,Appartement
10019030,True,False,1100.0,3.0,160.0,True,False,,,,True,200.0,,,3.0,,"
                                    Bon
                                ",7033,Maison
10280171,True,False,880.0,1.0,70.0,,,,,,,,,,,,"
                                    Excellent état
                                ",5000,Appartement
10299546,True,False,535.0,1.0,,True,,,,,True,1.0,,,3.0,False,"
                                    Bon
                                ",6180,Appartement
10282576,True,False,900.0,2.0,97.0,,,,,,,,,,,,"
                                    Excellent état
                                ",5000,Appartement
10299597,True,False,735.0,2.0,80.0,,,,,,True,5.0,,,2.0,,"
                                    Excellent état
                                ",9402,Appartement
10204783,True,False,900.0,2.0,108.0,True,False,,,,,,,,3.0,,,5100,Appartement
